date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:02:58	54044/54044	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Aug%202021%2008:07:23%20GMT	https://www.thehandcarry.co.in/media/bg/dg.jpg	M:/New%20folder%20(4)/thehendcarry/www.thehandcarry.co.in/media/bg/dg.jpg	(from https://www.thehandcarry.co.in/dedicated-ground-services)
23:02:58	583/583	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Mar%202022%2022:07:45%20GMT	https://www.thehandcarry.co.in/next-fligh-out-services	M:/New%20folder%20(4)/thehendcarry/www.thehandcarry.co.in/next-fligh-out-services	(from https://www.thehandcarry.co.in/next-flight-out-services)
23:02:59	42983/42983	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Aug%202021%2008:03:01%20GMT	https://www.thehandcarry.co.in/media/bg/nfo.jpg	M:/New%20folder%20(4)/thehendcarry/www.thehandcarry.co.in/media/bg/nfo.jpg	(from https://www.thehandcarry.co.in/next-flight-out-services)
23:03:00	78629/78629	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Aug%202021%2008:03:16%20GMT	https://www.thehandcarry.co.in/media/industries/1.jpg	M:/New%20folder%20(4)/thehendcarry/www.thehandcarry.co.in/media/industries/1.jpg	(from https://www.thehandcarry.co.in/industries)
23:03:00	46427/46427	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Aug%202021%2008:03:20%20GMT	https://www.thehandcarry.co.in/media/industries/2.jpg	M:/New%20folder%20(4)/thehendcarry/www.thehandcarry.co.in/media/industries/2.jpg	(from https://www.thehandcarry.co.in/industries)
23:03:01	156732/156732	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Aug%202021%2008:03:25%20GMT	https://www.thehandcarry.co.in/media/industries/3.jpg	M:/New%20folder%20(4)/thehendcarry/www.thehandcarry.co.in/media/industries/3.jpg	(from https://www.thehandcarry.co.in/industries)
23:03:01	42303/42303	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Aug%202021%2008:03:22%20GMT	https://www.thehandcarry.co.in/media/industries/4.jpg	M:/New%20folder%20(4)/thehendcarry/www.thehandcarry.co.in/media/industries/4.jpg	(from https://www.thehandcarry.co.in/industries)
23:03:02	42107/42107	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Aug%202021%2008:03:24%20GMT	https://www.thehandcarry.co.in/media/industries/5.jpg	M:/New%20folder%20(4)/thehendcarry/www.thehandcarry.co.in/media/industries/5.jpg	(from https://www.thehandcarry.co.in/industries)
23:03:02	2877564/2877564	---M--	200	added ('OK')	application/pdf	date:Mon,%2018%20Oct%202021%2008:40:16%20GMT	https://www.thehandcarry.co.in/thehandcarry_brochure.pdf	M:/New%20folder%20(4)/thehendcarry/www.thehandcarry.co.in/thehandcarry_brochure.pdf	(from https://www.thehandcarry.co.in/onboard-courier-services)
23:03:02	39421/39421	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Aug%202021%2008:03:26%20GMT	https://www.thehandcarry.co.in/media/industries/6.jpg	M:/New%20folder%20(4)/thehendcarry/www.thehandcarry.co.in/media/industries/6.jpg	(from https://www.thehandcarry.co.in/industries)
23:03:03	71771/71771	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Aug%202021%2008:03:28%20GMT	https://www.thehandcarry.co.in/media/industries/7.jpg	M:/New%20folder%20(4)/thehendcarry/www.thehandcarry.co.in/media/industries/7.jpg	(from https://www.thehandcarry.co.in/industries)
23:03:03	61077/61077	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20Oct%202021%2005:01:55%20GMT	https://www.thehandcarry.co.in/media/industries/8.jpg	M:/New%20folder%20(4)/thehendcarry/www.thehandcarry.co.in/media/industries/8.jpg	(from https://www.thehandcarry.co.in/industries)
23:03:04	52696/52696	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20Oct%202021%2005:01:58%20GMT	https://www.thehandcarry.co.in/media/industries/9.jpg	M:/New%20folder%20(4)/thehendcarry/www.thehandcarry.co.in/media/industries/9.jpg	(from https://www.thehandcarry.co.in/industries)
23:03:04	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2017%20Aug%202021%2008:02:07%20GMT	https://www.thehandcarry.co.in/fonts/glyphicons-halflings-regular.eot	M:/New%20folder%20(4)/thehendcarry/www.thehandcarry.co.in/fonts/glyphicons-halflings-regular.eot	(from https://www.thehandcarry.co.in/css/bootstrap.min.css)
23:03:05	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2017%20Aug%202021%2008:02:07%20GMT	https://www.thehandcarry.co.in/fonts/glyphicons-halflings-regular.eot?	M:/New%20folder%20(4)/thehendcarry/www.thehandcarry.co.in/fonts/glyphicons-halflings-regulard41d.eot	(from https://www.thehandcarry.co.in/css/bootstrap.min.css)
23:03:05	18028/18028	---M--	200	added ('OK')	font/woff2	date:Tue,%2017%20Aug%202021%2008:02:16%20GMT	https://www.thehandcarry.co.in/fonts/glyphicons-halflings-regular.woff2	M:/New%20folder%20(4)/thehendcarry/www.thehandcarry.co.in/fonts/glyphicons-halflings-regular.woff2	(from https://www.thehandcarry.co.in/css/bootstrap.min.css)
23:03:05	23424/23424	---M--	200	added ('OK')	font/woff	date:Tue,%2017%20Aug%202021%2008:02:15%20GMT	https://www.thehandcarry.co.in/fonts/glyphicons-halflings-regular.woff	M:/New%20folder%20(4)/thehendcarry/www.thehandcarry.co.in/fonts/glyphicons-halflings-regular.woff	(from https://www.thehandcarry.co.in/css/bootstrap.min.css)
23:03:06	45404/45404	---M--	200	added ('OK')	font/ttf	date:Tue,%2017%20Aug%202021%2008:02:12%20GMT	https://www.thehandcarry.co.in/fonts/glyphicons-halflings-regular.ttf	M:/New%20folder%20(4)/thehendcarry/www.thehandcarry.co.in/fonts/glyphicons-halflings-regular.ttf	(from https://www.thehandcarry.co.in/css/bootstrap.min.css)
23:03:07	108738/108738	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2017%20Aug%202021%2008:02:12%20GMT	https://www.thehandcarry.co.in/fonts/glyphicons-halflings-regular.svg	M:/New%20folder%20(4)/thehendcarry/www.thehandcarry.co.in/fonts/glyphicons-halflings-regular.svg	(from https://www.thehandcarry.co.in/css/bootstrap.min.css)
